Location,Year,Company Type,Number of Companies,Productivity
Mortágua,2009,Construction,279,14127.9
Oliveira do Hospital,2009,Construction,303,14363.5
Pampilhosa da Serra,2009,Construction,55,9839.5
Penacova,2009,Construction,442,12743.7
Penela,2009,Construction,110,12606.2
Soure,2009,Construction,212,10535
Tábua,2009,Construction,181,8909.8
Vila Nova de Poiares,2009,Construction,139,11174.1
Região de Leiria,2009,Construction,5421,20176.9
Alvaiázere,2009,Construction,200,16559.3
Ansião,2009,Construction,324,14795.8
Batalha,2009,Construction,301,23359.9
Castanheira de Pêra,2009,Construction,40,10656.6
Figueiró dos Vinhos,2009,Construction,118,23363.3
Leiria,2009,Construction,2201,20477.5
Marinha Grande,2009,Construction,228,13557.1
Pedrógão Grande,2009,Construction,33,11646.3
Pombal,2009,Construction,1660,20730.6
Porto de Mós,2009,Construction,316,21560
Viseu Dão Lafões,2009,Construction,3379,16043.6
Aguiar da Beira,2009,Construction,79,13098.8
Carregal do Sal,2009,Construction,100,11416
Castro Daire,2009,Construction,175,12281.9
Mangualde,2009,Construction,205,11806.6
Nelas,2009,Construction,98,20888.1
Oliveira de Frades,2009,Construction,132,20810.2
Penalva do Castelo,2009,Construction,136,17621.8
Santa Comba Dão,2009,Construction,133,15103.4
São Pedro do Sul,2009,Construction,264,10360.6
Sátão,2009,Construction,223,12594.8
Tondela,2009,Construction,433,10282.2
Vila Nova de Paiva,2009,Construction,68,12115
Viseu,2009,Construction,1150,19964
Vouzela,2009,Construction,183,13379.6
Beira Baixa,2009,Construction,1032,13739.6
Castelo Branco,2009,Construction,642,14514.3
Idanha-a-Nova,2009,Construction,90,10234.2
Oleiros,2009,Construction,70,10536.5
Penamacor,2009,Construction,64,17523.7
Proença-a-Nova,2009,Construction,146,11557.8
Vila Velha de Ródão,2009,Construction,20,8780.4
Médio Tejo,2009,Construction,3256,17089.2
Abrantes,2009,Construction,334,21657.9
Alcanena,2009,Construction,103,14486.5
Constância,2009,Construction,20,15338.2
Entroncamento,2009,Construction,104,20540.3
Ferreira do Zêzere,2009,Construction,185,11159
Mação,2009,Construction,103,11062.6
Ourém,2009,Construction,1056,17957.3
Sardoal,2009,Construction,68,44232.6
Sertã,2009,Construction,274,13819
Tomar,2009,Construction,516,13845.4
Torres Novas,2009,Construction,369,13431.7
Vila de Rei,2009,Construction,81,9259.7
Vila Nova da Barquinha,2009,Construction,43,14335
Beiras e Serra da Estrela,2009,Construction,2804,15734
Almeida,2009,Construction,63,13100.8
Belmonte,2009,Construction,73,23753
Celorico da Beira,2009,Construction,61,13711
Covilhã,2009,Construction,478,14851.5
Figueira de Castelo Rodrigo,2009,Construction,63,8412.6
Fornos de Algodres,2009,Construction,66,10133.6
Fundão,2009,Construction,356,13290.6
Gouveia,2009,Construction,150,10686.7
Guarda,2009,Construction,586,14136.1
Manteigas,2009,Construction,43,12273.6
Mêda,2009,Construction,65,15294.2
Pinhel,2009,Construction,156,14506.5
Sabugal,2009,Construction,276,7839.3
Seia,2009,Construction,248,28105.1
Trancoso,2009,Construction,120,17086.4
Área Metropolitana de Lisboa,2009,Construction,27491,25666
Área Metropolitana de Lisboa,2009,Construction,27491,25666
Alcochete,2009,Construction,133,36534.7
Almada,2009,Construction,1682,23308.1
Amadora,2009,Construction,1791,25169.1
Barreiro,2009,Construction,603,19295
Cascais,2009,Construction,2058,22365.8
Lisboa,2009,Construction,4689,30660.6
Loures,2009,Construction,1877,17618.4
Mafra,2009,Construction,1230,18984.9
Moita,2009,Construction,598,21085.1
Montijo,2009,Construction,448,13880.9
Odivelas,2009,Construction,1668,20024.7
Oeiras,2009,Construction,1252,33812.8
Palmela,2009,Construction,677,19824.5
Seixal,2009,Construction,1742,16761.3
Sesimbra,2009,Construction,639,15940.6
Setúbal,2009,Construction,1013,23861
Sintra,2009,Construction,4239,24652.3
Vila Franca de Xira,2009,Construction,1152,23716.4
Alentejo,2009,Construction,6733,15356.4
Alentejo Litoral,2009,Construction,979,18453.8
Alcácer do Sal,2009,Construction,110,14407.6
Grândola,2009,Construction,167,31734.6
Odemira,2009,Construction,355,13084.9
Santiago do Cacém,2009,Construction,233,15659.2
Sines,2009,Construction,114,25066.6
Baixo Alentejo,2009,Construction,1080,12059.7
Aljustrel,2009,Construction,79,16299.5
Almodôvar,2009,Construction,128,8636.7
Alvito,2009,Construction,25,9177.5
Barrancos,2009,Construction,14,6114.5
Beja,2009,Construction,274,13694
Castro Verde,2009,Construction,68,12094.5
Cuba,2009,Construction,54,10819.4
Ferreira do Alentejo,2009,Construction,62,12283
Mértola,2009,Construction,91,8134.3
Moura,2009,Construction,86,13418.2
Ourique,2009,Construction,41,6673.3
Serpa,2009,Construction,109,16062.2
Vidigueira,2009,Construction,49,9285.7
Lezíria do Tejo,2009,Construction,2239,17830.9
Almeirim,2009,Construction,256,15770.6
Alpiarça,2009,Construction,68,14693.4
Azambuja,2009,Construction,138,42718.7
Benavente,2009,Construction,260,23257.7
Cartaxo,2009,Construction,226,15032
Chamusca,2009,Construction,104,13115.8
Coruche,2009,Construction,174,20399
Golegã,2009,Construction,40,10188.2
Rio Maior,2009,Construction,215,15120.9
Salvaterra de Magos,2009,Construction,246,13255.7
Santarém,2009,Construction,512,15394.3
Alto Alentejo,2009,Construction,900,11837.9
Alter do Chão,2009,Construction,26,9734
Arronches,2009,Construction,21,15713.6
Avis,2009,Construction,25,-
Campo Maior,2009,Construction,36,7797.7
Castelo de Vide,2009,Construction,34,-
Crato,2009,Construction,97,9581.1
Elvas,2009,Construction,161,10368.6
Fronteira,2009,Construction,27,10458
Gavião,2009,Construction,32,15248.8
Marvão,2009,Construction,33,10177.9
Monforte,2009,Construction,19,9335.3
Nisa,2009,Construction,70,8945
Ponte de Sor,2009,Construction,131,13888
Portalegre,2009,Construction,151,12517.6
Sousel,2009,Construction,37,15083.1
Alentejo Central,2009,Construction,1535,12953.7
Alandroal,2009,Construction,66,11351.7
Arraiolos,2009,Construction,66,9483.2
Borba,2009,Construction,60,12568
Estremoz,2009,Construction,104,12009.4
Évora,2009,Construction,454,14748.6
Montemor-o-Novo,2009,Construction,191,15359.6
Mora,2009,Construction,36,11309.5
Mourão,2009,Construction,27,13695.5
Portel,2009,Construction,62,9280.6
Redondo,2009,Construction,83,9257.7
Reguengos de Monsaraz,2009,Construction,119,12412.1
Vendas Novas,2009,Construction,134,14175.8
Viana do Alentejo,2009,Construction,60,10234.9
Vila Viçosa,2009,Construction,73,8239.2
Algarve,2009,Construction,9115,15881
Algarve,2009,Construction,9115,15881
Albufeira,2009,Construction,960,15542
Alcoutim,2009,Construction,33,7836
Aljezur,2009,Construction,119,10609.7
Castro Marim,2009,Construction,103,14210.2
Faro,2009,Construction,1029,16864.7
Lagoa,2009,Construction,527,17775.1
Lagos,2009,Construction,671,19599.5
Loulé,2009,Construction,1973,15500
Monchique,2009,Construction,59,3255.8
Olhão,2009,Construction,731,14000.2
Portimão,2009,Construction,1054,15135.2
São Brás de Alportel,2009,Construction,215,12874.4
Silves,2009,Construction,708,15117.2
Tavira,2009,Construction,501,16623.7
Vila do Bispo,2009,Construction,76,32383.1
Vila Real de Santo António,2009,Construction,356,12229.1
Continente,2009,Human health and social work activities,79309,19676.9
Norte,2009,Human health and social work activities,27497,19049.2
Alto Minho,2009,Human health and social work activities,1504,18159
Arcos de Valdevez,2009,Human health and social work activities,113,13367
Caminha,2009,Human health and social work activities,118,13195.3
Melgaço,2009,Human health and social work activities,26,19023.6
Monção,2009,Human health and social work activities,98,18362.5
Paredes de Coura,2009,Human health and social work activities,26,10633
Ponte da Barca,2009,Human health and social work activities,61,11945.2
Ponte de Lima,2009,Human health and social work activities,182,17873.5
Valença,2009,Human health and social work activities,53,15569.6
Viana do Castelo,2009,Human health and social work activities,778,20582.6
Vila Nova de Cerveira,2009,Human health and social work activities,49,11962.8
Cávado,2009,Human health and social work activities,2803,15890.5
Amares,2009,Human health and social work activities,110,15320.6
Barcelos,2009,Human health and social work activities,540,17675.7
Braga,2009,Human health and social work activities,1764,15697.2
Esposende,2009,Human health and social work activities,209,15745.5
Terras de Bouro,2009,Human health and social work activities,22,24861.1
Vila Verde,2009,Human health and social work activities,158,12533.3
Ave,2009,Human health and social work activities,2304,14828.1
Cabeceiras de Basto,2009,Human health and social work activities,60,10550.9
Fafe,2009,Human health and social work activities,247,16534.2
Guimarães,2009,Human health and social work activities,917,15010.5
Mondim de Basto,2009,Human health and social work activities,17,15421.4
Póvoa de Lanhoso,2009,Human health and social work activities,99,14801.3
Vieira do Minho,2009,Human health and social work activities,37,9362.5
Vila Nova de Famalicão,2009,Human health and social work activities,829,14241.9
Vizela,2009,Human health and social work activities,98,15626.7
Área Metropolitana do Porto,2009,Human health and social work activities,16888,21330
Arouca,2009,Human health and social work activities,80,10848
Espinho,2009,Human health and social work activities,258,17698.8
Gondomar,2009,Human health and social work activities,1270,13664.8
Maia,2009,Human health and social work activities,1574,16403.2
Matosinhos,2009,Human health and social work activities,2129,25708.1
Oliveira de Azeméis,2009,Human health and social work activities,327,14632.7
Paredes,2009,Human health and social work activities,423,13112
Porto,2009,Human health and social work activities,4824,26360.1
Póvoa de Varzim,2009,Human health and social work activities,489,26808.2
Santa Maria da Feira,2009,Human health and social work activities,828,10567.6
Santo Tirso,2009,Human health and social work activities,417,20872
São João da Madeira,2009,Human health and social work activities,146,26918.7
Trofa,2009,Human health and social work activities,180,19553.1
Vale de Cambra,2009,Human health and social work activities,109,14497.3
Valongo,2009,Human health and social work activities,730,12207.2
Vila do Conde,2009,Human health and social work activities,525,15835.8
Vila Nova de Gaia,2009,Human health and social work activities,2579,18501.6
Alto Tâmega,2009,Human health and social work activities,436,15678
Boticas,2009,Human health and social work activities,10,3323.2
Chaves,2009,Human health and social work activities,272,16823.7
Montalegre,2009,Human health and social work activities,24,14007.3
Ribeira de Pena,2009,Human health and social work activities,13,4264.5
Valpaços,2009,Human health and social work activities,63,17412.2
Vila Pouca de Aguiar,2009,Human health and social work activities,54,10256.4
Tâmega e Sousa,2009,Human health and social work activities,1738,12587.5
Amarante,2009,Human health and social work activities,293,11127.4
Baião,2009,Human health and social work activities,53,11832.9
Castelo de Paiva,2009,Human health and social work activities,61,11745
Celorico de Basto,2009,Human health and social work activities,65,9802.9
Cinfães,2009,Human health and social work activities,55,12437.9
Felgueiras,2009,Human health and social work activities,232,13064.8
Lousada,2009,Human health and social work activities,182,11063.6
Marco de Canaveses,2009,Human health and social work activities,181,9943.7
Paços de Ferreira,2009,Human health and social work activities,259,12881.2
Penafiel,2009,Human health and social work activities,325,16349.5
Resende,2009,Human health and social work activities,32,4855.1
Douro,2009,Human health and social work activities,1124,15520.9
Alijó,2009,Human health and social work activities,48,8687.5
Armamar,2009,Human health and social work activities,12,9226.8
Carrazeda de Ansiães,2009,Human health and social work activities,13,13807.8
Freixo de Espada à Cinta,2009,Human health and social work activities,9,38644.3
Lamego,2009,Human health and social work activities,138,16008.1
Mesão Frio,2009,Human health and social work activities,15,22597.2
Moimenta da Beira,2009,Human health and social work activities,34,10025.7
Murça,2009,Human health and social work activities,34,11782.3
Penedono,2009,Human health and social work activities,6,12258.1
Peso da Régua,2009,Human health and social work activities,92,19315
Sabrosa,2009,Human health and social work activities,16,9568.9
Santa Marta de Penaguião,2009,Human health and social work activities,22,8753.8
São João da Pesqueira,2009,Human health and social work activities,11,5578.6
Sernancelhe,2009,Human health and social work activities,11,24130
Tabuaço,2009,Human health and social work activities,13,7456.7
Tarouca,2009,Human health and social work activities,23,8467
Torre de Moncorvo,2009,Human health and social work activities,33,17509.9
Vila Nova de Foz Côa,2009,Human health and social work activities,21,16119.6
Vila Real,2009,Human health and social work activities,573,15624.2
Terras de Trás-os-Montes,2009,Human health and social work activities,700,17071.8
Alfândega da Fé,2009,Human health and social work activities,24,9250.3
Bragança,2009,Human health and social work activities,284,15549.6
Macedo de Cavaleiros,2009,Human health and social work activities,103,15991.8
Miranda do Douro,2009,Human health and social work activities,39,17919.9
Mirandela,2009,Human health and social work activities,140,27584.7
Mogadouro,2009,Human health and social work activities,48,9394.1
Vila Flor,2009,Human health and social work activities,23,6760.7
Vimioso,2009,Human health and social work activities,15,6192.6
Vinhais,2009,Human health and social work activities,24,7885.8
Centro,2009,Human health and social work activities,15219,17882.4
Oeste,2009,Human health and social work activities,1878,16106.8
Alcobaça,2009,Human health and social work activities,226,17457.3
Alenquer,2009,Human health and social work activities,149,14326.8
Arruda dos Vinhos,2009,Human health and social work activities,78,14097.9
Bombarral,2009,Human health and social work activities,49,15399.9
Cadaval,2009,Human health and social work activities,39,11253.7
Caldas da Rainha,2009,Human health and social work activities,391,12213.8
Lourinhã,2009,Human health and social work activities,126,16101.5
Nazaré,2009,Human health and social work activities,62,9295.3
Óbidos,2009,Human health and social work activities,53,10132.6
Peniche,2009,Human health and social work activities,139,22726.1
Sobral de Monte Agraço,2009,Human health and social work activities,48,12846.8
Torres Vedras,2009,Human health and social work activities,518,19441.4
Região de Aveiro,2009,Human health and social work activities,2139,17189.3
Águeda,2009,Human health and social work activities,191,16120.4
Albergaria-a-Velha,2009,Human health and social work activities,108,14111.4
Anadia,2009,Human health and social work activities,143,16825.4
Aveiro,2009,Human health and social work activities,676,20868.1
Estarreja,2009,Human health and social work activities,131,17893.7
Ílhavo,2009,Human health and social work activities,234,16088.9
Murtosa,2009,Human health and social work activities,49,19519.7
Oliveira do Bairro,2009,Human health and social work activities,132,10365.2
Ovar,2009,Human health and social work activities,333,13080.6
Sever do Vouga,2009,Human health and social work activities,46,12590.6
Vagos,2009,Human health and social work activities,96,12544
Região de Coimbra,2009,Human health and social work activities,4949,21370.1
Arganil,2009,Human health and social work activities,45,14635.2
Cantanhede,2009,Human health and social work activities,212,13385.7
Coimbra,2009,Human health and social work activities,3102,25837.9
Condeixa-a-Nova,2009,Human health and social work activities,171,15245.3
Figueira da Foz,2009,Human health and social work activities,485,17001.5
Góis,2009,Human health and social work activities,13,32291.6
Lousã,2009,Human health and social work activities,114,10585.6
Mealhada,2009,Human health and social work activities,134,13642.5
Mira,2009,Human health and social work activities,69,7077.1
Miranda do Corvo,2009,Human health and social work activities,64,14119.2
Montemor-o-Velho,2009,Human health and social work activities,169,10737.8
Mortágua,2009,Human health and social work activities,44,15113.9
Oliveira do Hospital,2009,Human health and social work activities,69,13504
Pampilhosa da Serra,2009,Human health and social work activities,8,18792.4
Penacova,2009,Human health and social work activities,56,13505.8
Penela,2009,Human health and social work activities,30,9849.2
Soure,2009,Human health and social work activities,90,9211.8
Tábua,2009,Human health and social work activities,47,37896.4
Vila Nova de Poiares,2009,Human health and social work activities,27,10028.7
Região de Leiria,2009,Human health and social work activities,1729,15840.5
Alvaiázere,2009,Human health and social work activities,20,17986.6
Ansião,2009,Human health and social work activities,32,26195.7
Batalha,2009,Human health and social work activities,61,8354.6
Castanheira de Pêra,2009,Human health and social work activities,6,-1477.3
Figueiró dos Vinhos,2009,Human health and social work activities,28,11412.1
Leiria,2009,Human health and social work activities,993,16527
Marinha Grande,2009,Human health and social work activities,226,15217.2
Pedrógão Grande,2009,Human health and social work activities,5,23398.7
Pombal,2009,Human health and social work activities,261,13747.5
Porto de Mós,2009,Human health and social work activities,97,12763.4
Viseu Dão Lafões,2009,Human health and social work activities,1579,17392
Aguiar da Beira,2009,Human health and social work activities,12,8350.6
Carregal do Sal,2009,Human health and social work activities,33,16831.9
Castro Daire,2009,Human health and social work activities,38,10096.9
Mangualde,2009,Human health and social work activities,83,20407.3
Nelas,2009,Human health and social work activities,47,15322.5
Oliveira de Frades,2009,Human health and social work activities,31,13341.3
Penalva do Castelo,2009,Human health and social work activities,9,8449.5
Santa Comba Dão,2009,Human health and social work activities,58,19677
São Pedro do Sul,2009,Human health and social work activities,62,14023.9
Sátão,2009,Human health and social work activities,52,13135.7
Tondela,2009,Human health and social work activities,93,12115
Vila Nova de Paiva,2009,Human health and social work activities,14,8952.1
Viseu,2009,Human health and social work activities,1016,19381.4
Vouzela,2009,Human health and social work activities,31,9040.8
Beira Baixa,2009,Human health and social work activities,478,15216.5
Castelo Branco,2009,Human health and social work activities,404,17536.6
Idanha-a-Nova,2009,Human health and social work activities,18,9091.5
Oleiros,2009,Human health and social work activities,12,14669.6
Penamacor,2009,Human health and social work activities,16,7841.6
Proença-a-Nova,2009,Human health and social work activities,23,14750.5
Vila Velha de Ródão,2009,Human health and social work activities,5,12585.4
Médio Tejo,2009,Human health and social work activities,1310,17264.5
Abrantes,2009,Human health and social work activities,222,21003.9
Alcanena,2009,Human health and social work activities,38,18903.2
Constância,2009,Human health and social work activities,18,11583.4
Entroncamento,2009,Human health and social work activities,166,16033.8
Ferreira do Zêzere,2009,Human health and social work activities,17,8399
Mação,2009,Human health and social work activities,19,15756.2
Ourém,2009,Human health and social work activities,243,15758.4
Sardoal,2009,Human health and social work activities,29,20267.6
Sertã,2009,Human health and social work activities,42,8842.1
Tomar,2009,Human health and social work activities,253,18545.9
Torres Novas,2009,Human health and social work activities,226,17565.2
Vila de Rei,2009,Human health and social work activities,11,8125.3
Vila Nova da Barquinha,2009,Human health and social work activities,26,9061.8
Beiras e Serra da Estrela,2009,Human health and social work activities,1157,16030.4
Almeida,2009,Human health and social work activities,23,17565
Belmonte,2009,Human health and social work activities,22,16164.9
Celorico da Beira,2009,Human health and social work activities,15,14610
Covilhã,2009,Human health and social work activities,277,18032
Figueira de Castelo Rodrigo,2009,Human health and social work activities,30,12247.1
Fornos de Algodres,2009,Human health and social work activities,12,9949.7
Fundão,2009,Human health and social work activities,114,15463.9
Gouveia,2009,Human health and social work activities,47,6712.2
Guarda,2009,Human health and social work activities,380,18609.4
Manteigas,2009,Human health and social work activities,10,20958.6
Mêda,2009,Human health and social work activities,13,5434.4
Pinhel,2009,Human health and social work activities,33,8365.8
Sabugal,2009,Human health and social work activities,39,9498.8
Seia,2009,Human health and social work activities,115,14533.6
Trancoso,2009,Human health and social work activities,27,7891.8
Área Metropolitana de Lisboa,2009,Human health and social work activities,29378,21502.5
Área Metropolitana de Lisboa,2009,Human health and social work activities,29378,21502.5
Alcochete,2009,Human health and social work activities,128,10965.9
Almada,2009,Human health and social work activities,1611,16789.6
Amadora,2009,Human health and social work activities,1261,18981.7
Barreiro,2009,Human health and social work activities,632,18251.3
Cascais,2009,Human health and social work activities,2677,17866.8
Lisboa,2009,Human health and social work activities,9836,27092.8
Loures,2009,Human health and social work activities,1517,16015.2
Mafra,2009,Human health and social work activities,579,14176.2
Moita,2009,Human health and social work activities,349,10773.3
Montijo,2009,Human health and social work activities,408,13033.2
Odivelas,2009,Human health and social work activities,1263,13314.2
Oeiras,2009,Human health and social work activities,2548,25642.4
Palmela,2009,Human health and social work activities,445,14125.8
Seixal,2009,Human health and social work activities,1132,13762.8
Sesimbra,2009,Human health and social work activities,372,11260.3
Setúbal,2009,Human health and social work activities,1158,17711.5
Sintra,2009,Human health and social work activities,2588,17931.2
Vila Franca de Xira,2009,Human health and social work activities,874,14723
Alentejo,2009,Human health and social work activities,3971,15464.8
Alentejo Litoral,2009,Human health and social work activities,425,14280.1
Alcácer do Sal,2009,Human health and social work activities,44,11450.5
Grândola,2009,Human health and social work activities,58,25029.4
Odemira,2009,Human health and social work activities,66,14607.7
Santiago do Cacém,2009,Human health and social work activities,194,11869
Sines,2009,Human health and social work activities,63,13751.9
Baixo Alentejo,2009,Human health and social work activities,609,14996
Aljustrel,2009,Human health and social work activities,21,11943.5
Almodôvar,2009,Human health and social work activities,15,4857.7
Alvito,2009,Human health and social work activities,7,10451.9
Barrancos,2009,Human health and social work activities,3,11328.7
Beja,2009,Human health and social work activities,367,17435.7
Castro Verde,2009,Human health and social work activities,30,11304.6
Cuba,2009,Human health and social work activities,20,15765
Ferreira do Alentejo,2009,Human health and social work activities,25,11838
Mértola,2009,Human health and social work activities,18,10359.2
Moura,2009,Human health and social work activities,42,11523.4
Ourique,2009,Human health and social work activities,16,17142.3
Serpa,2009,Human health and social work activities,33,13252.8
Vidigueira,2009,Human health and social work activities,12,8852.1
Lezíria do Tejo,2009,Human health and social work activities,1330,16397.6
Almeirim,2009,Human health and social work activities,140,13424.1
Alpiarça,2009,Human health and social work activities,44,9949.8
Azambuja,2009,Human health and social work activities,83,8386.7
Benavente,2009,Human health and social work activities,157,15731.7
Cartaxo,2009,Human health and social work activities,146,14443.9
Chamusca,2009,Human health and social work activities,22,15536.2
Coruche,2009,Human health and social work activities,74,15769.1
Golegã,2009,Human health and social work activities,18,15855
Rio Maior,2009,Human health and social work activities,85,12769.2
Salvaterra de Magos,2009,Human health and social work activities,78,13483.8
Santarém,2009,Human health and social work activities,483,21182.3
Alto Alentejo,2009,Human health and social work activities,573,15732.3
Alter do Chão,2009,Human health and social work activities,6,16383.6
Arronches,2009,Human health and social work activities,6,12014.7
Avis,2009,Human health and social work activities,11,20194.3
Campo Maior,2009,Human health and social work activities,52,16388.3
Castelo de Vide,2009,Human health and social work activities,13,12344.4
Crato,2009,Human health and social work activities,15,13421.2
Elvas,2009,Human health and social work activities,146,14783.5
Fronteira,2009,Human health and social work activities,13,4601.4
Gavião,2009,Human health and social work activities,8,14295.5
Marvão,2009,Human health and social work activities,5,2769.4
Monforte,2009,Human health and social work activities,5,6527
Nisa,2009,Human health and social work activities,27,11856.8
Ponte de Sor,2009,Human health and social work activities,65,16354.5
Portalegre,2009,Human health and social work activities,194,17256.9
Sousel,2009,Human health and social work activities,7,16181
Alentejo Central,2009,Human health and social work activities,1034,14856.6
Alandroal,2009,Human health and social work activities,10,-
Arraiolos,2009,Human health and social work activities,22,12465.1
Borba,2009,Human health and social work activities,27,14743.6
Estremoz,2009,Human health and social work activities,55,-
Évora,2009,Human health and social work activities,605,17657.6
Montemor-o-Novo,2009,Human health and social work activities,94,10238.9
Mora,2009,Human health and social work activities,12,18401.6
Mourão,2009,Human health and social work activities,2,-
Portel,2009,Human health and social work activities,18,-
Redondo,2009,Human health and social work activities,15,9042.2
Reguengos de Monsaraz,2009,Human health and social work activities,53,-
Vendas Novas,2009,Human health and social work activities,62,-
Viana do Alentejo,2009,Human health and social work activities,11,12904.9
Vila Viçosa,2009,Human health and social work activities,48,7006.1
Algarve,2009,Human health and social work activities,3244,19688.5
Algarve,2009,Human health and social work activities,3244,19688.5
Albufeira,2009,Human health and social work activities,253,21356.9
Alcoutim,2009,Human health and social work activities,4,13733.3
Aljezur,2009,Human health and social work activities,28,12105
Castro Marim,2009,Human health and social work activities,25,14164.2
Faro,2009,Human health and social work activities,787,27192.9
Lagoa,2009,Human health and social work activities,152,17489.9
Lagos,2009,Human health and social work activities,210,17267
Loulé,2009,Human health and social work activities,419,18147.2
Monchique,2009,Human health and social work activities,31,12084.1
Olhão,2009,Human health and social work activities,242,12291.3
Portimão,2009,Human health and social work activities,640,17541.5
São Brás de Alportel,2009,Human health and social work activities,76,19297.5
Silves,2009,Human health and social work activities,164,13935.5
Tavira,2009,Human health and social work activities,129,16138.6
Vila do Bispo,2009,Human health and social work activities,13,6810.3
Vila Real de Santo António,2009,Human health and social work activities,71,13792.1
Continente,2010,"Agriculture, farming, hunting, forestry and fishing",47875,10899.1
Norte,2010,"Agriculture, farming, hunting, forestry and fishing",11350,9749.5
Alto Minho,2010,"Agriculture, farming, hunting, forestry and fishing",916,9799.3
Arcos de Valdevez,2010,"Agriculture, farming, hunting, forestry and fishing",51,6997.6
Caminha,2010,"Agriculture, farming, hunting, forestry and fishing",132,10472.7
Melgaço,2010,"Agriculture, farming, hunting, forestry and fishing",24,6881.3
Monção,2010,"Agriculture, farming, hunting, forestry and fishing",42,-
Paredes de Coura,2010,"Agriculture, farming, hunting, forestry and fishing",47,-
Ponte da Barca,2010,"Agriculture, farming, hunting, forestry and fishing",33,12988.1
Ponte de Lima,2010,"Agriculture, farming, hunting, forestry and fishing",198,10054.9
Valença,2010,"Agriculture, farming, hunting, forestry and fishing",44,13136.6
Viana do Castelo,2010,"Agriculture, farming, hunting, forestry and fishing",305,9144.2
Vila Nova de Cerveira,2010,"Agriculture, farming, hunting, forestry and fishing",40,10492.2
Cávado,2010,"Agriculture, farming, hunting, forestry and fishing",1503,11424
Amares,2010,"Agriculture, farming, hunting, forestry and fishing",65,8124.7
Barcelos,2010,"Agriculture, farming, hunting, forestry and fishing",735,14979.7
Braga,2010,"Agriculture, farming, hunting, forestry and fishing",179,7161.1
Esposende,2010,"Agriculture, farming, hunting, forestry and fishing",373,7352.1
Terras de Bouro,2010,"Agriculture, farming, hunting, forestry and fishing",28,5379.4
Vila Verde,2010,"Agriculture, farming, hunting, forestry and fishing",123,9134.5
Ave,2010,"Agriculture, farming, hunting, forestry and fishing",713,10729.1
Cabeceiras de Basto,2010,"Agriculture, farming, hunting, forestry and fishing",51,9502.8
Fafe,2010,"Agriculture, farming, hunting, forestry and fishing",50,7224.6
Guimarães,2010,"Agriculture, farming, hunting, forestry and fishing",168,10947.6
Mondim de Basto,2010,"Agriculture, farming, hunting, forestry and fishing",27,6833
Póvoa de Lanhoso,2010,"Agriculture, farming, hunting, forestry and fishing",68,9404.5
Vieira do Minho,2010,"Agriculture, farming, hunting, forestry and fishing",34,9904.8
Vila Nova de Famalicão,2010,"Agriculture, farming, hunting, forestry and fishing",300,12153.7
Vizela,2010,"Agriculture, farming, hunting, forestry and fishing",15,8519.6
Área Metropolitana do Porto,2010,"Agriculture, farming, hunting, forestry and fishing",3220,11108.6
Arouca,2010,"Agriculture, farming, hunting, forestry and fishing",171,17657.7
Espinho,2010,"Agriculture, farming, hunting, forestry and fishing",32,5025.4
Gondomar,2010,"Agriculture, farming, hunting, forestry and fishing",130,5085.6
Maia,2010,"Agriculture, farming, hunting, forestry and fishing",157,10802.5
Matosinhos,2010,"Agriculture, farming, hunting, forestry and fishing",213,15697.5
Oliveira de Azeméis,2010,"Agriculture, farming, hunting, forestry and fishing",205,10484.8
Paredes,2010,"Agriculture, farming, hunting, forestry and fishing",68,6708.6
Porto,2010,"Agriculture, farming, hunting, forestry and fishing",271,9864.6
Póvoa de Varzim,2010,"Agriculture, farming, hunting, forestry and fishing",696,10405.1
Santa Maria da Feira,2010,"Agriculture, farming, hunting, forestry and fishing",102,6752
Santo Tirso,2010,"Agriculture, farming, hunting, forestry and fishing",89,15141
São João da Madeira,2010,"Agriculture, farming, hunting, forestry and fishing",7,6816.9
Trofa,2010,"Agriculture, farming, hunting, forestry and fishing",127,10871.1
Vale de Cambra,2010,"Agriculture, farming, hunting, forestry and fishing",47,8948.1
Valongo,2010,"Agriculture, farming, hunting, forestry and fishing",74,7843.4
Vila do Conde,2010,"Agriculture, farming, hunting, forestry and fishing",630,9847.7
Vila Nova de Gaia,2010,"Agriculture, farming, hunting, forestry and fishing",201,14225
Alto Tâmega,2010,"Agriculture, farming, hunting, forestry and fishing",617,7295.8
Boticas,2010,"Agriculture, farming, hunting, forestry and fishing",62,7045.4
Chaves,2010,"Agriculture, farming, hunting, forestry and fishing",159,13212.1
Montalegre,2010,"Agriculture, farming, hunting, forestry and fishing",175,3445.2
Ribeira de Pena,2010,"Agriculture, farming, hunting, forestry and fishing",41,7828.4
Valpaços,2010,"Agriculture, farming, hunting, forestry and fishing",100,4472.6
Vila Pouca de Aguiar,2010,"Agriculture, farming, hunting, forestry and fishing",80,5706.7
Tâmega e Sousa,2010,"Agriculture, farming, hunting, forestry and fishing",958,6292.9
Amarante,2010,"Agriculture, farming, hunting, forestry and fishing",162,6828.8
Baião,2010,"Agriculture, farming, hunting, forestry and fishing",54,5997.9
Castelo de Paiva,2010,"Agriculture, farming, hunting, forestry and fishing",62,8006.1
Celorico de Basto,2010,"Agriculture, farming, hunting, forestry and fishing",53,5425.2
Cinfães,2010,"Agriculture, farming, hunting, forestry and fishing",53,5623.4
